subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-economy,3/22/2020,all,52.73412,30.45293,10.28445,5.333936,02-04-20 17:45
concern-economy,3/21/2020,all,47.62551,32.997,12.07553,5.92444,02-04-20 17:45
concern-infected,3/21/2020,all,24.29691,37.2181,25.39157,11.64195,02-04-20 17:46
concern-infected,3/20/2020,all,24.29691,37.2181,25.39157,11.64195,02-04-20 17:46
concern-economy,3/20/2020,all,47.62551,32.997,12.07553,5.92444,02-04-20 17:46
concern-infected,3/19/2020,all,24.29691,37.2181,25.39157,11.64195,02-04-20 17:46
concern-economy,3/19/2020,all,45.38528,34.18507,12.70884,6.211256,02-04-20 17:46
concern-infected,3/18/2020,all,23.46276,34.76722,26.64241,13.64039,02-04-20 17:46
concern-economy,3/18/2020,all,45.38528,34.18507,12.70884,6.211256,02-04-20 17:46
concern-infected,3/17/2020,all,23.46276,34.76722,26.64241,13.64039,02-04-20 17:46
concern-economy,3/17/2020,all,44.04733,34.81139,12.98826,6.417843,02-04-20 17:46
concern-economy,3/16/2020,all,42.46375,35.49059,13.57028,6.670887,02-04-20 17:46
concern-infected,3/16/2020,all,23.74623,34.44712,26.40847,13.77206,02-04-20 17:46
concern-infected,3/15/2020,all,23.27218,34.20933,26.65161,14.2085,02-04-20 17:46
concern-economy,3/15/2020,all,37.13918,37.96914,15.01443,7.490304,02-04-20 17:46
concern-infected,3/14/2020,all,22.14673,33.64861,28.11237,14.37209,02-04-20 17:46
concern-economy,3/14/2020,all,34.88319,38.08405,15.9141,8.212915,02-04-20 17:46
concern-infected,3/13/2020,all,22.14673,33.64861,28.11237,14.37209,02-04-20 17:46
concern-economy,3/13/2020,all,34.09245,38.4781,16.53161,8.28289,02-04-20 17:46
concern-infected,03-12-20,all,22.32016,33.02826,28.9935,14.40557,02-04-20 17:46
concern-economy,03-12-20,all,34.21951,36.67172,18.38413,7.946908,02-04-20 17:46
concern-infected,03-11-20,all,22.4244,31.26108,30.29826,15.62325,02-04-20 17:46
concern-economy,03-11-20,all,34.21951,36.67172,18.38413,7.946908,02-04-20 17:46
concern-infected,03-10-20,all,22.10178,31.99989,28.88765,16.59942,02-04-20 17:46
concern-economy,03-10-20,all,34.21951,36.67172,18.38413,7.946908,02-04-20 17:46
concern-economy,03-09-20,all,33.85994,36.65052,18.78105,8.071594,02-04-20 17:46
concern-infected,03-09-20,all,22.4908,31.72139,28.51094,16.74567,02-04-20 17:46
concern-economy,03-08-20,all,33.83747,36.61839,19.02329,8.326152,02-04-20 17:46
concern-infected,03-08-20,all,20.62768,31.46883,29.76527,17.3044,02-04-20 17:46
concern-economy,03-07-20,all,33.17934,36.48302,19.92439,7.631758,02-04-20 17:46
concern-infected,03-07-20,all,19.82386,28.96277,32.97747,17.23682,02-04-20 17:46
concern-economy,03-06-20,all,33.17934,36.48302,19.92439,7.631758,02-04-20 17:46
concern-infected,03-06-20,all,19.82386,28.96277,32.97747,17.23682,02-04-20 17:46
concern-infected,03-05-20,all,19.82386,28.96277,32.97747,17.23682,02-04-20 17:46
concern-economy,03-05-20,all,33.17934,36.48302,19.92439,7.631758,02-04-20 17:46
concern-economy,03-04-20,all,32.43756,35.37135,20.94713,8.149701,02-04-20 17:46
concern-infected,03-04-20,all,19.82386,28.96277,32.97747,17.23682,02-04-20 17:46
concern-infected,03-03-20,all,19.82386,28.96277,32.97747,17.23682,02-04-20 17:46
concern-economy,03-03-20,all,32.43756,35.37135,20.94713,8.149701,02-04-20 17:46
concern-economy,03-02-20,all,28.73197,34.83743,21.58282,10.18496,02-04-20 17:46
concern-infected,03-02-20,all,17.90033,24.96559,35.13448,20.38884,02-04-20 17:46
concern-economy,03-01-20,all,28.73197,34.83743,21.58282,10.18496,02-04-20 17:46
concern-infected,03-01-20,all,17.90033,24.96559,35.13448,20.38884,02-04-20 17:46
concern-infected,2/29/2020,all,17.90033,24.96559,35.13448,20.38884,02-04-20 17:46
concern-economy,2/29/2020,all,25.62871,35.5055,24.18785,11.32783,02-04-20 17:46
concern-infected,2/28/2020,all,17.90033,24.96559,35.13448,20.38884,02-04-20 17:46
concern-economy,2/28/2020,all,25.62871,35.5055,24.18785,11.32783,02-04-20 17:46
concern-economy,2/27/2020,all,25.62871,35.5055,24.18785,11.32783,02-04-20 17:46
concern-infected,2/27/2020,all,17.55785,24.40722,36.65177,20.91708,02-04-20 17:46
concern-infected,2/26/2020,all,17.55785,24.40722,36.65177,20.91708,02-04-20 17:46
concern-economy,2/26/2020,all,25.62871,35.5055,24.18785,11.32783,02-04-20 17:46
concern-infected,2/25/2020,all,17.55785,24.40722,36.65177,20.91708,02-04-20 17:46
concern-economy,2/25/2020,all,22.2899,34.34493,27.1253,13.61984,02-04-20 17:46
concern-infected,2/24/2020,all,18.43492,23.51789,36.31841,20.99664,02-04-20 17:46
concern-economy,2/24/2020,all,22.2899,34.34493,27.1253,13.61984,02-04-20 17:46
concern-economy,2/23/2020,all,22.2899,34.34493,27.1253,13.61984,02-04-20 17:46
concern-infected,2/23/2020,all,18.43492,23.51789,36.31841,20.99664,02-04-20 17:46
concern-economy,2/22/2020,all,22.2899,34.34493,27.1253,13.61984,02-04-20 17:46
concern-infected,2/22/2020,all,18.43492,23.51789,36.31841,20.99664,02-04-20 17:46
concern-economy,2/21/2020,all,22.2899,34.34493,27.1253,13.61984,02-04-20 17:46
concern-infected,2/21/2020,all,18.43492,23.51789,36.31841,20.99664,02-04-20 17:46
concern-infected,2/20/2020,all,18.43492,23.51789,36.31841,20.99664,02-04-20 17:46
concern-economy,2/20/2020,all,22.2899,34.34493,27.1253,13.61984,02-04-20 17:46
concern-economy,2/19/2020,all,22.2899,34.34493,27.1253,13.61984,02-04-20 17:46
concern-infected,2/19/2020,all,18.43492,23.51789,36.31841,20.99664,02-04-20 17:46
concern-infected,2/18/2020,all,18.43492,23.51789,36.31841,20.99664,02-04-20 17:46
concern-economy,2/18/2020,all,22.2899,34.34493,27.1253,13.61984,02-04-20 17:46
concern-economy,2/17/2020,all,22.7564,32.28901,24.01514,8.969726,02-04-20 17:46
concern-infected,2/17/2020,all,16.4273,24.80625,37.79734,19.74481,02-04-20 17:46
concern-economy,2/16/2020,all,22.7564,32.28901,24.01514,8.969726,02-04-20 17:46
concern-infected,2/16/2020,all,16.4273,24.80625,37.79734,19.74481,02-04-20 17:46
concern-economy,2/15/2020,all,22.7564,32.28901,24.01514,8.969726,02-04-20 17:46
concern-infected,2/15/2020,all,11.7618,26.27597,39.08025,19.99529,02-04-20 17:46
