subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-infected,7/20/2020,all,36.09616,33.260848,17.026398,11.145916,20-07-20 18:45
concern-economy,7/20/2020,all,54.333817,32.088064,8.7507963,3.3477779,20-07-20 18:45
concern-infected,7/19/2020,all,35.639723,33.431771,17.276306,11.295858,19-07-20 9:05
concern-economy,7/19/2020,all,54.333817,32.088064,8.7507963,3.3477779,19-07-20 9:05
concern-infected,7/18/2020,all,35.639723,33.431771,17.276306,11.295858,19-07-20 9:05
concern-economy,7/18/2020,all,54.333817,32.088064,8.7507963,3.3477779,19-07-20 9:05
concern-economy,7/17/2020,all,54.333817,32.088064,8.7507963,3.3477779,17-07-20 18:50
concern-infected,7/17/2020,all,35.639723,33.431771,17.276306,11.295858,17-07-20 18:50
concern-infected,7/16/2020,all,34.565088,33.9529,18.133767,11.866981,16-07-20 16:40
concern-economy,7/16/2020,all,54.333817,32.088064,8.7507963,3.3477779,16-07-20 16:40
concern-economy,7/15/2020,all,54.499124,31.830571,8.7611223,3.3881283,15-07-20 17:10
concern-infected,7/15/2020,all,33.916076,34.116913,18.419405,12.011495,15-07-20 17:10
concern-economy,7/14/2020,all,54.499124,31.830571,8.7611223,3.3881283,14-07-20 19:00
concern-infected,7/14/2020,all,31.591565,34.531769,19.027843,12.835306,14-07-20 19:00
concern-infected,7/13/2020,all,31.631132,34.547542,19.070344,12.784077,13-07-20 16:45
concern-economy,7/13/2020,all,55.379466,31.115491,8.8337269,3.2460752,13-07-20 16:45
concern-infected,07-12-20,all,31.128285,34.707424,19.327142,12.890865,13-07-20 16:35
concern-economy,07-12-20,all,55.379466,31.115491,8.8337269,3.2460752,13-07-20 16:35
concern-economy,07-11-20,all,55.379466,31.115491,8.8337269,3.2460752,13-07-20 16:35
concern-infected,07-11-20,all,31.128285,34.707424,19.327142,12.890865,13-07-20 16:35
concern-infected,07-10-20,all,31.128285,34.707424,19.327142,12.890865,10-07-20 10:15
concern-economy,07-10-20,all,55.379466,31.115491,8.8337269,3.2460752,10-07-20 10:15
concern-economy,07-09-20,all,55.379466,31.115491,8.8337269,3.2460752,10-07-20 0:25
concern-infected,07-09-20,all,30.777769,34.742491,19.548932,12.996663,10-07-20 0:25
concern-infected,07-08-20,all,30.777769,34.742491,19.548932,12.996663,08-07-20 17:05
concern-economy,07-08-20,all,55.379466,31.115491,8.8337269,3.2460752,08-07-20 17:05
concern-infected,07-07-20,all,31.064142,34.661363,19.202494,12.934868,07-07-20 20:15
